,number of Autoencoders,magic_telescope,pendigits,phoneme,waveform
117,118,0.9966610880489756,0.9996301775147929,0.8336507694361281,0.8243720068936273
118,119,0.9966613073055337,0.9996712689020381,0.8334547396121355,0.8246054254247245
119,120,0.9966689812850642,0.9996301775147929,0.8330931904425926,0.8246637800574987
120,121,0.9966737318438212,0.9997123602892833,0.8329825899582388,0.8245353998653953
121,122,0.9966873257504182,0.9997534516765285,0.832772830418947,0.8242747491723368
122,123,0.996687252664899,0.9997534516765285,0.8327720676569859,0.824539290174247
123,124,0.996697557723126,0.9997534516765285,0.8327591007036479,0.8245548514096533
124,125,0.9967026006239603,0.9997123602892833,0.8324013653439104,0.8246170963512793
125,126,0.996702527538441,0.9997123602892833,0.8327057073663736,0.8246559994397955
126,127,0.9967031122225957,0.9997534516765285,0.8332381152151941,0.8246676703663504
127,128,0.9966978500652032,0.9997534516765285,0.8331008180622032,0.8247104637637183
128,129,0.9966932456774847,0.9997534516765285,0.8333571060811197,0.824589864189318
129,130,0.9966892259739211,0.9997534516765285,0.8334059228466277,0.8246248769689827
130,131,0.9966779708039429,0.9997534516765285,0.8329383497644972,0.824652109130944
131,132,0.9966787016591364,0.9997534516765285,0.8332278179287198,0.8245548514096535
132,133,0.9966734395017439,0.9997534516765285,0.8330649682500334,0.8245237289388404
133,134,0.9966836714744514,0.9997123602892833,0.83309852977632,0.8245509611008017
134,135,0.9966873988359378,0.9997123602892833,0.8336622108655442,0.824508167703434
135,136,0.9966876180924958,0.9997123602892833,0.8331755687343873,0.8244537033795114
136,137,0.9966947804733909,0.9997123602892833,0.832923094525276,0.8244148002909951
137,138,0.9966927340788494,0.9997123602892833,0.8328323258519097,0.8243603359670724
138,139,0.9967009196570156,0.9997123602892833,0.8332037909269465,0.8242475170103755
139,140,0.9967172177278282,0.9997123602892833,0.8327545241318814,0.8243292134962594
140,141,0.9967045008474631,0.9997123602892833,0.8330520012966953,0.824395348746737
141,142,0.9967050855316177,0.9997123602892833,0.8332335386434278,0.8244459227618082
142,143,0.9966957305851423,0.9997123602892833,0.8333540550332754,0.8245509611008017
143,144,0.9966924417367721,0.9997123602892833,0.8327903739440515,0.8245743029539115
144,145,0.9966837445599708,0.9997123602892833,0.8323964073911634,0.8245003870857307
145,146,0.9966901760856726,0.9997123602892833,0.8319559123586507,0.8244887161591758
146,147,0.9966866679807442,0.9997123602892833,0.8322716958105298,0.8245392901742469
147,148,0.9966877642635346,0.9997534516765285,0.8322617799050361,0.8246132060424277
148,149,0.9966991656045515,0.9997534516765285,0.8322621612860167,0.8245626320273567
149,150,0.9966853524413961,0.9997945430637738,0.832154611849507,0.8247143540725699
150,151,0.996685937125551,0.9997945430637738,0.8319360805476631,0.8245548514096536
151,152,0.996687252664899,0.9997945430637738,0.8318880265441163,0.8244381421441049
152,153,0.996687033408341,0.9997945430637738,0.8317133540550332,0.8244420324529566
153,154,0.9967039161633083,0.9997945430637738,0.8317530176770084,0.8244109099821435
154,155,0.9966940496181975,0.9997534516765285,0.8319887111229763,0.8245042773945824
155,156,0.996699092519032,0.9997123602892833,0.8321752064224557,0.824508167703434
156,157,0.9967017966832475,0.9997534516765285,0.8319353177857021,0.8244109099821435
157,158,0.9967077166103141,0.9997534516765285,0.8320169333155356,0.8243603359670726
158,159,0.996707278097198,0.9997534516765285,0.8332625235979482,0.82442647121755
159,160,0.996706401070966,0.9997534516765285,0.8333990579889781,0.8244653743060661
160,161,0.9967131980242646,0.9997123602892833,0.8337926431608855,0.824477045232621
161,162,0.9967167792147122,0.9997534516765285,0.8338757842146413,0.8244381421441049
162,163,0.9967198488065245,0.9997123602892833,0.8340298621307756,0.8245898641893181
163,164,0.996718240925099,0.9997123602892833,0.8335889857172823,0.8246949025283118
164,165,0.9967147328201708,0.9997123602892833,0.8334272801815373,0.8246248769689827
165,166,0.9967161945305575,0.9997123602892833,0.83309852977632,0.8245859738804664
166,167,0.9967153175043255,0.9997123602892833,0.8334166015140826,0.8245820835716147
167,168,0.996703185308115,0.9997123602892833,0.8330634427261112,0.8245898641893179
168,169,0.99671480590569,0.9997123602892833,0.8331160733014245,0.8245976448070214
169,170,0.9967183870961377,0.9997123602892833,0.8332205716900898,0.8245898641893179
170,171,0.9967102746034909,0.9997123602892833,0.833622547243569,0.824640438204389
171,172,0.9967175100699055,0.9997123602892833,0.8344856124025095,0.8246598897486471
172,173,0.9967211643458725,0.9997123602892833,0.834186228332793,0.8246832316017569
173,174,0.9967188256092536,0.9997123602892833,0.8341305467096355,0.8247765990141958
